BARTRAC-REF;FML-REF;SHIPPING-FOLDER-LOCATION;SHIPPING-FILE-LOCATION
BA3081;2601DSI2766;C:\Users\Jason\Obsidian\SHIPPING\BA3081\2601DSI2766 - 10 GENSETS - CE;2601DSI2766.md
BA3123;2601DSI2765;C:\Users\Jason\Obsidian\SHIPPING\BA3123\2601DSI2765 - 2 X CAT DE850E0 GENSETS - CE;2601DSI2765.md
BA3122;2601DSI2765;C:\Users\Jason\Obsidian\SHIPPING\BA3122\2601DSI2765 - 2 X CAT DE850E0 GENSETS - CE;2601DSI2765.md
BA3114;2601DSI2764;C:\Users\Jason\Obsidian\SHIPPING\BA3114\2601DSI2764 - 2 X CAT DE850E0 GENSETS - CE;2601DSI2764.md
BA3121;2601DSI2764;C:\Users\Jason\Obsidian\SHIPPING\BA3121\2601DSI2764 - 2 X CAT DE850E0 GENSETS - CE;2601DSI2764.md
BA3053;2601DSI2763;C:\Users\Jason\Obsidian\SHIPPING\BA3053\2601DSI2763 - 4 X CAT DE850E0 GENSETS - CE;2601DSI2763.md
BA3054;2601DSI2763;C:\Users\Jason\Obsidian\SHIPPING\BA3054\2601DSI2763 - 4 X CAT DE850E0 GENSETS - CE;2601DSI2763.md
BA3119;2601DSI2763;C:\Users\Jason\Obsidian\SHIPPING\BA3119\2601DSI2763 - 4 X CAT DE850E0 GENSETS - CE;2601DSI2763.md
BA3120;2601DSI2763;C:\Users\Jason\Obsidian\SHIPPING\BA3120\2601DSI2763 - 4 X CAT DE850E0 GENSETS - CE;2601DSI2763.md
BA3052;2601DSI2760;C:\Users\Jason\Obsidian\SHIPPING\BA3052\2601DSI2760 - BA3052 - CAT BUCKET - KCC;2601DSI2760.md
BA3115;2601DSI2759;C:\Users\Jason\Obsidian\SHIPPING\BA3115\2601DSI2759 - BA3115 BA3116 - 2 X CAT BUCKET - KCC;2601DSI2759.md
BA3116;2601DSI2759;C:\Users\Jason\Obsidian\SHIPPING\BA3116\2601DSI2759 - BA3115 BA3116 - 2 X CAT BUCKET - KCC;2601DSI2759.md
BA3112;2601DSI2758;C:\Users\Jason\Obsidian\SHIPPING\BA3112\2601DSI2758 - BA3112 BA3113 - 2 X CAT DE400GC GENSET - CE;2601DSI2758.md
BA3113;2601DSI2758;C:\Users\Jason\Obsidian\SHIPPING\BA3113\2601DSI2758 - BA3112 BA3113 - 2 X CAT DE400GC GENSET - CE;2601DSI2758.md
BA3117;2601DSI2756;C:\Users\Jason\Obsidian\SHIPPING\BA3117\2601DSI2756 - BA3117 BA3118 - CAT GENSETS - CE;2601DSI2756.md
BA3118;2601DSI2756;C:\Users\Jason\Obsidian\SHIPPING\BA3118\2601DSI2756 - BA3117 BA3118 - CAT GENSETS - CE;2601DSI2756.md
BA3089;2601DSI2754;C:\Users\Jason\Obsidian\SHIPPING\BA3089\2601DSI2754 - BA3089 - CAT AD63 UNDERGROUND MINING TRUCK - CE KOLWEZI;2602DSI2778-BA3089.md
BA3088;2601DSI2753;C:\Users\Jason\Obsidian\SHIPPING\BA3088\2601DSI2753 - BA3088 - CAT AD63 UNDERGROUND MINING TRUCK - CE KOLWEZI;2602DSI2778-BA3088.md
BA2960;2601DSI2752;C:\Users\Jason\Obsidian\SHIPPING\BA2960\2601DSI2752 - BA2960 - CAT C15 ENGINE - CE;2601DSI2752.md
BA2132;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\BA2132\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3132;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3133;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3134;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3135;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3136;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\２６０１ＤＳＩ２７４９ - BA２１３２ TO BA３１５０ - １９ X CAT GENSETS - CE;２６０１ＤＳＩ２７４９.md
BA3137;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3138;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3139;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3140;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3141;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3142;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
