[2026-04-02 11:32:18] [INFO] ============================================================
[2026-04-02 11:32:18] [INFO] Shipment Processing Status
[2026-04-02 11:32:18] [INFO] ============================================================
[2026-04-02 11:39:53] [INFO] Shipment Processing Status
[2026-04-02 11:39:53] [INFO] ============================================================
[2026-04-02 11:39:53] [INFO]  | 2601DSI2753 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2754 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2602DSI2778 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2603DSI2786 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2602DSI2781 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2602DSI2779 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2602DRE2775 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2769 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2769 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2769 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2769 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2769 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2769 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2769 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2602DSI2769 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2768 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2767 | Not processed
[2026-04-02 11:39:53] [INFO]  | 2601DSI2767 | Not processed
